ticker,model,alpha,beta,delta,log_py_sum,log_pz_sum,log_joint_sum,n_scored,first_scored_date,last_scored_date
SPY,SV,,0.95,0.999,13298.037039200159,,13298.037039200159,4024,2010-01-04,2025-12-31
SPY,RV,2.75,0.875,0.999,13499.797765985571,35985.24382769866,49485.041593684226,4024,2010-01-04,2025-12-31
SPY,RVL,2.75,0.875,0.999,13594.936027139254,35972.16408408957,49567.10011122882,4024,2010-01-04,2025-12-31
XLB,SV,,0.95,0.999,12307.72671910853,,12307.72671910853,4024,2010-01-04,2025-12-31
XLB,RV,2.75,0.875,0.999,12369.303020779807,34110.68272843092,46479.985749210726,4024,2010-01-04,2025-12-31
XLB,RVL,2.75,0.875,0.999,12431.27190643673,34108.63027875862,46539.90218519535,4024,2010-01-04,2025-12-31
XLE,SV,,0.95,0.999,11409.970571865148,,11409.970571865148,4024,2010-01-04,2025-12-31
XLE,RV,2.75,0.875,0.999,11479.637171923865,32056.534159412407,43536.17133133628,4024,2010-01-04,2025-12-31
XLE,RVL,2.75,0.875,0.999,11530.861840112146,32049.69263303523,43580.55447314738,4024,2010-01-04,2025-12-31
XLF,SV,,0.95,0.999,12259.029683415543,,12259.029683415543,4024,2010-01-04,2025-12-31
XLF,RV,2.75,0.875,0.999,12353.661467270627,33940.45467243221,46294.11613970285,4024,2010-01-04,2025-12-31
XLF,RVL,2.75,0.875,0.999,12413.554803032317,33935.06307845806,46348.61788149037,4024,2010-01-04,2025-12-31
XLI,SV,,0.95,0.999,12684.12059870483,,12684.12059870483,4024,2010-01-04,2025-12-31
XLI,RV,2.75,0.875,0.999,12772.726158930782,34775.07799026352,47547.80414919429,4024,2010-01-04,2025-12-31
XLI,RVL,2.75,0.875,0.999,12846.794507741552,34769.31526653464,47616.10977427619,4024,2010-01-04,2025-12-31
XLK,SV,,0.95,0.999,12252.637869409038,,12252.637869409038,4024,2010-01-04,2025-12-31
XLK,RV,2.75,0.875,0.999,12363.769059101607,34168.74014797133,46532.509207072944,4024,2010-01-04,2025-12-31
XLK,RVL,2.75,0.875,0.999,12499.701040512047,34167.98148034014,46667.68252085218,4024,2010-01-04,2025-12-31
XLP,SV,,0.95,0.999,13979.84743172727,,13979.84743172727,4024,2010-01-04,2025-12-31
XLP,RV,2.75,0.875,0.999,14113.172066234003,36816.01164732268,50929.18371355668,4024,2010-01-04,2025-12-31
XLP,RVL,2.75,0.875,0.999,14145.13821039394,36812.64285329162,50957.78106368556,4024,2010-01-04,2025-12-31
XLU,SV,,0.95,0.999,13081.316607289042,,13081.316607289042,4024,2010-01-04,2025-12-31
XLU,RV,2.75,0.875,0.999,13176.154398914132,34434.69297422996,47610.84737314409,4024,2010-01-04,2025-12-31
XLU,RVL,2.75,0.875,0.999,13204.555313565403,34432.81327158313,47637.368585148535,4024,2010-01-04,2025-12-31
XLV,SV,,0.95,0.999,13258.366990039336,,13258.366990039336,4024,2010-01-04,2025-12-31
XLV,RV,2.75,0.875,0.999,13363.457382859971,35483.292780480784,48846.75016334077,4024,2010-01-04,2025-12-31
XLV,RVL,2.75,0.875,0.999,13419.199585052054,35477.93169217015,48897.1312772222,4024,2010-01-04,2025-12-31
XLY,SV,,0.95,0.999,12513.949126828522,,12513.949126828522,4024,2010-01-04,2025-12-31
XLY,RV,2.75,0.875,0.999,12627.513275879088,34458.786772616724,47086.30004849581,4024,2010-01-04,2025-12-31
XLY,RVL,2.75,0.875,0.999,12722.009315001429,34457.05323078542,47179.062545786845,4024,2010-01-04,2025-12-31
