ticker,comparison,score_basis,final_logbf,alpha,rv_beta,sv_beta,delta
SPY,RV-DLM minus SV-DLM,log p(y),201.7607267854134,2.75,0.875,0.95,0.999
SPY,RVL-DLM minus RV-DLM,log p(y),95.138261153684,2.75,0.875,0.95,0.999
SPY,RVL-DLM minus SV-DLM,log p(y),296.89898793909833,2.75,0.875,0.95,0.999
XLB,RV-DLM minus SV-DLM,log p(y),61.57630167127671,2.75,0.875,0.95,0.999
XLB,RVL-DLM minus RV-DLM,log p(y),61.96888565692529,2.75,0.875,0.95,0.999
XLB,RVL-DLM minus SV-DLM,log p(y),123.54518732820189,2.75,0.875,0.95,0.999
XLE,RV-DLM minus SV-DLM,log p(y),69.66660005871847,2.75,0.875,0.95,0.999
XLE,RVL-DLM minus RV-DLM,log p(y),51.224668188281825,2.75,0.875,0.95,0.999
XLE,RVL-DLM minus SV-DLM,log p(y),120.89126824700026,2.75,0.875,0.95,0.999
XLF,RV-DLM minus SV-DLM,log p(y),94.63178385508499,2.75,0.875,0.95,0.999
XLF,RVL-DLM minus RV-DLM,log p(y),59.893335761688896,2.75,0.875,0.95,0.999
XLF,RVL-DLM minus SV-DLM,log p(y),154.5251196167739,2.75,0.875,0.95,0.999
XLI,RV-DLM minus SV-DLM,log p(y),88.60556022595092,2.75,0.875,0.95,0.999
XLI,RVL-DLM minus RV-DLM,log p(y),74.06834881076938,2.75,0.875,0.95,0.999
XLI,RVL-DLM minus SV-DLM,log p(y),162.6739090367205,2.75,0.875,0.95,0.999
XLK,RV-DLM minus SV-DLM,log p(y),111.13118969256938,2.75,0.875,0.95,0.999
XLK,RVL-DLM minus RV-DLM,log p(y),135.93198141044053,2.75,0.875,0.95,0.999
XLK,RVL-DLM minus SV-DLM,log p(y),247.0631711030102,2.75,0.875,0.95,0.999
XLP,RV-DLM minus SV-DLM,log p(y),133.32463450673222,2.75,0.875,0.95,0.999
XLP,RVL-DLM minus RV-DLM,log p(y),31.966144159937212,2.75,0.875,0.95,0.999
XLP,RVL-DLM minus SV-DLM,log p(y),165.29077866666947,2.75,0.875,0.95,0.999
XLU,RV-DLM minus SV-DLM,log p(y),94.83779162508947,2.75,0.875,0.95,0.999
XLU,RVL-DLM minus RV-DLM,log p(y),28.40091465127102,2.75,0.875,0.95,0.999
XLU,RVL-DLM minus SV-DLM,log p(y),123.2387062763603,2.75,0.875,0.95,0.999
XLV,RV-DLM minus SV-DLM,log p(y),105.09039282063537,2.75,0.875,0.95,0.999
XLV,RVL-DLM minus RV-DLM,log p(y),55.7422021920811,2.75,0.875,0.95,0.999
XLV,RVL-DLM minus SV-DLM,log p(y),160.83259501271644,2.75,0.875,0.95,0.999
XLY,RV-DLM minus SV-DLM,log p(y),113.56414905056663,2.75,0.875,0.95,0.999
XLY,RVL-DLM minus RV-DLM,log p(y),94.49603912233955,2.75,0.875,0.95,0.999
XLY,RVL-DLM minus SV-DLM,log p(y),208.0601881729064,2.75,0.875,0.95,0.999
