ticker,comparison,score_basis,final_logbf,alpha,rv_beta,sv_beta,delta
SPY,RV-DLM minus SV-DLM,log p(y),201.76237848571373,2.75,0.875,0.95,0.999
SPY,RVL-DLM minus RV-DLM,log p(y),95.14030568660752,2.75,0.875,0.95,0.999
SPY,RVL-DLM minus SV-DLM,log p(y),296.9026841723215,2.75,0.875,0.95,0.999
XLB,RV-DLM minus SV-DLM,log p(y),61.575918936106525,2.75,0.875,0.95,0.999
XLB,RVL-DLM minus RV-DLM,log p(y),61.96877645525796,2.75,0.875,0.95,0.999
XLB,RVL-DLM minus SV-DLM,log p(y),123.54469539136456,2.75,0.875,0.95,0.999
XLE,RV-DLM minus SV-DLM,log p(y),69.66603996457482,2.75,0.875,0.95,0.999
XLE,RVL-DLM minus RV-DLM,log p(y),51.225051649261154,2.75,0.875,0.95,0.999
XLE,RVL-DLM minus SV-DLM,log p(y),120.89109161383602,2.75,0.875,0.95,0.999
XLF,RV-DLM minus SV-DLM,log p(y),94.63130642639602,2.75,0.875,0.95,0.999
XLF,RVL-DLM minus RV-DLM,log p(y),59.89337939599983,2.75,0.875,0.95,0.999
XLF,RVL-DLM minus SV-DLM,log p(y),154.52468582239572,2.75,0.875,0.95,0.999
XLI,RV-DLM minus SV-DLM,log p(y),88.60498526430791,2.75,0.875,0.95,0.999
XLI,RVL-DLM minus RV-DLM,log p(y),74.06754389319943,2.75,0.875,0.95,0.999
XLI,RVL-DLM minus SV-DLM,log p(y),162.6725291575076,2.75,0.875,0.95,0.999
XLK,RV-DLM minus SV-DLM,log p(y),111.13226538469151,2.75,0.875,0.95,0.999
XLK,RVL-DLM minus RV-DLM,log p(y),135.93256868211526,2.75,0.875,0.95,0.999
XLK,RVL-DLM minus SV-DLM,log p(y),247.0648340668074,2.75,0.875,0.95,0.999
XLP,RV-DLM minus SV-DLM,log p(y),133.32460176522568,2.75,0.875,0.95,0.999
XLP,RVL-DLM minus RV-DLM,log p(y),31.966250806213036,2.75,0.875,0.95,0.999
XLP,RVL-DLM minus SV-DLM,log p(y),165.29085257143888,2.75,0.875,0.95,0.999
XLU,RV-DLM minus SV-DLM,log p(y),94.83684482852972,2.75,0.875,0.95,0.999
XLU,RVL-DLM minus RV-DLM,log p(y),28.401095463776965,2.75,0.875,0.95,0.999
XLU,RVL-DLM minus SV-DLM,log p(y),123.23794029230676,2.75,0.875,0.95,0.999
XLV,RV-DLM minus SV-DLM,log p(y),105.0901730597616,2.75,0.875,0.95,0.999
XLV,RVL-DLM minus RV-DLM,log p(y),55.742149677349786,2.75,0.875,0.95,0.999
XLV,RVL-DLM minus SV-DLM,log p(y),160.83232273711175,2.75,0.875,0.95,0.999
XLY,RV-DLM minus SV-DLM,log p(y),113.56329041280654,2.75,0.875,0.95,0.999
XLY,RVL-DLM minus RV-DLM,log p(y),94.49566187545243,2.75,0.875,0.95,0.999
XLY,RVL-DLM minus SV-DLM,log p(y),208.05895228825926,2.75,0.875,0.95,0.999
