ticker,model,alpha,beta,delta,log_py_sum,log_pz_sum,log_joint_sum,n_scored,first_scored_date,last_scored_date
SPY,SV,,0.95,0.999,13298.038582208617,,13298.038582208617,4024,2010-01-04,2025-12-31
SPY,RV,2.75,0.875,0.999,13499.80096069433,35985.24257451583,49485.04353521016,4024,2010-01-04,2025-12-31
SPY,RVL,2.75,0.875,0.999,13594.941266380938,35972.16276911787,49567.10403549882,4024,2010-01-04,2025-12-31
XLB,SV,,0.95,0.999,12307.727469569485,,12307.727469569485,4024,2010-01-04,2025-12-31
XLB,RV,2.75,0.875,0.999,12369.303388505592,34110.68305611897,46479.98644462456,4024,2010-01-04,2025-12-31
XLB,RVL,2.75,0.875,0.999,12431.27216496085,34108.63062024882,46539.90278520968,4024,2010-01-04,2025-12-31
XLE,SV,,0.95,0.999,11409.968779230128,,11409.968779230128,4024,2010-01-04,2025-12-31
XLE,RV,2.75,0.875,0.999,11479.634819194704,32056.53393099196,43536.168750186655,4024,2010-01-04,2025-12-31
XLE,RVL,2.75,0.875,0.999,11530.859870843964,32049.69246625458,43580.55233709855,4024,2010-01-04,2025-12-31
XLF,SV,,0.95,0.999,12259.029110668174,,12259.029110668174,4024,2010-01-04,2025-12-31
XLF,RV,2.75,0.875,0.999,12353.660417094568,33940.45531608762,46294.11573318219,4024,2010-01-04,2025-12-31
XLF,RVL,2.75,0.875,0.999,12413.55379649057,33935.06375005031,46348.617546540874,4024,2010-01-04,2025-12-31
XLI,SV,,0.95,0.999,12684.118540528947,,12684.118540528947,4024,2010-01-04,2025-12-31
XLI,RV,2.75,0.875,0.999,12772.723525793255,34775.07754256604,47547.80106835929,4024,2010-01-04,2025-12-31
XLI,RVL,2.75,0.875,0.999,12846.791069686455,34769.31489661483,47616.105966301286,4024,2010-01-04,2025-12-31
XLK,SV,,0.95,0.999,12252.639145599613,,12252.639145599613,4024,2010-01-04,2025-12-31
XLK,RV,2.75,0.875,0.999,12363.771410984305,34168.740749474644,46532.51216045895,4024,2010-01-04,2025-12-31
XLK,RVL,2.75,0.875,0.999,12499.70397966642,34167.98196991657,46667.685949582985,4024,2010-01-04,2025-12-31
XLP,SV,,0.95,0.999,13979.851307838033,,13979.851307838033,4024,2010-01-04,2025-12-31
XLP,RV,2.75,0.875,0.999,14113.175909603258,36816.01242389921,50929.18833350246,4024,2010-01-04,2025-12-31
XLP,RVL,2.75,0.875,0.999,14145.142160409472,36812.64360828212,50957.78576869158,4024,2010-01-04,2025-12-31
XLU,SV,,0.95,0.999,13081.312517536491,,13081.312517536491,4024,2010-01-04,2025-12-31
XLU,RV,2.75,0.875,0.999,13176.14936236502,34434.69301865178,47610.842381016795,4024,2010-01-04,2025-12-31
XLU,RVL,2.75,0.875,0.999,13204.550457828796,34432.81328894563,47637.363746774434,4024,2010-01-04,2025-12-31
XLV,SV,,0.95,0.999,13258.367582994888,,13258.367582994888,4024,2010-01-04,2025-12-31
XLV,RV,2.75,0.875,0.999,13363.45775605465,35483.29317309773,48846.75092915238,4024,2010-01-04,2025-12-31
XLV,RVL,2.75,0.875,0.999,13419.199905731999,35477.93210194286,48897.13200767486,4024,2010-01-04,2025-12-31
XLY,SV,,0.95,0.999,12513.944271610124,,12513.944271610124,4024,2010-01-04,2025-12-31
XLY,RV,2.75,0.875,0.999,12627.50756202293,34458.78645279867,47086.2940148216,4024,2010-01-04,2025-12-31
XLY,RVL,2.75,0.875,0.999,12722.003223898382,34457.05298977757,47179.056213675954,4024,2010-01-04,2025-12-31
